ResponseIdHash,Q14_5,code1,code2,code3,code4,code5
846292910608f619a6bdbfe1146a15f9,it could negatively impact fighting climate change,environmental-harm,,,,
674058f384141831d39485aa8065cab7,The negative impact would be misinforming the general public,misinformation,,,,
ff79ba1da1454746a92e9b2496f0f5fc,students would get the wrong information and fail,misinformation,impede-learning,incorrect-ai-output,,
c9e7827fbe7e042a1f05fa5c13856285,Identifying the victims ,na,,,,
8f7d2fcc92635f2f4b718635e6cc86ed,It could cause major issues for my credit rating and my financial well-being.  ,financial-disturbance,negative-health-wellbeing,,,
b4d65aceed0a76a38751abc6ad15d7a6,Patients dying or losing access to healthcare and people having to vacate their geographic location.,physical-harm,economic-disturbance,social-isolation,hinder-medical-care,
0b4a08fa2ef9537fa294d82a12d074b5,The policy holder would incur a huge sum of medical expenses.,financial-disturbance,,,,
3f056792ae1110b2d15d925d0b189929,I have to spend more time verifying what I'm read and not able to finish my task in time.,waste-resources-or-time,overreliance,,,
643eb5ce5ffd4628b7df95fb2a9a989b,it would make investors lose money,financial-disturbance,,,,
e9600de19374e80684b238230ab21961,Visually/physically disabled people would be late to the appointments and destinations.,physical-harm,overreliance,,,
a9f184c26c6727739a63a18fe6688c1f,"The dying out of young and old leaves no people for a future nor past history. the old holds our past history and pass it on, the young is our future. ",social-isolation,extinction,,,
5e6fcb4004f2703be9d4f5b9c03dae57,Lack of recognition and less impactful content,lower-quality,hinder-career,,,
e5b58d055cf7e85a1556295276f8c7dc,People would argue about what the particular author really said and meant.,miscommunication,bias,,,
a7fc499ed69ded16e23e00c2a36f9a9c,Lost of foods which would be extra cost to bear by the restaurant ,financial-disturbance,waste-resources-or-time,economic-disturbance,,
60d44adef99af5be796b2dd24bd33f26,the person relying on the technology could have an accident ,physical-harm,overreliance,,,
a64ddcf323c53bfc242426f09458455f,death of the individual,physical-harm,,,,
32402c6238774f7c806e3cb21c0e573d,It would completely siruot my finances. Not let me have credit when i possibly really need it. ,financial-disturbance,,,,
ad3019edd73f89e90c5ad6abeb498d98,it will  create chaos,general-harm,,,,
20201c2b66ffd464d8b6adbdfc3836f4,It would lead to injuries and potential legal issues.,physical-harm,legal-issues,,,
91e80106d7eef35614d2487cd3b7e050,After searching for what you want you might not get the accurate results ,misinformation,incorrect-ai-output,,,
639b208cd22831cafac610ae39c25011,"death, loss of limb, or some sort of permanent damage to the body or mind.",physical-harm,mental-harm,,,
0a4c7e28657b6bd5fd5ba055938b5c69,Cleints are not preapproved and cannot close on a loan and lose a house,financial-disturbance,distrust-institution,,,
e79299a8b60775bbab62b06615651ed6,"It could potentially kill someone and even if it wasn't the extreme case, people might not trust it and not want to use it.",physical-harm,distrust-ai,,,
72d216b8c94c89767a52f72ef140705f,less sales and business collapse,financial-disturbance,economic-disturbance,business-use,,
900a8f0272e58439d2a91aaddc15a18a,it will result in a poor work environment and also bring about poor work ethics,lower-quality,mental-harm,,,
c2330b9ddea7a69804f109cde289dab8,none,no-harm,,,,
afce71b3334590a354ae67b677d6fdd2,"Mass chaos and confusion throughout the world, regardless of socioeconomic or national identity",misinformation,general-harm,social-division,range,
ce49ac6376affcbdd899736814030a51,People would start protesting and would try to ban this AI.,distrust-ai,social-division,,,
8859bc3ba5e0989f9c947f2575b9ce70,Something or someone would be destroyed without notice.,physical-harm,general-harm,,,
9ff9b390943cc8629f962d25e2256f01,It could kill the hostages or victims instead of apprehending the suspects.,physical-harm,incorrect-ai-output,,,
ffdd3b62fdaa6c976ada1f608d7a7e67,It would lead to people having the wrong idea and harmful about certain topics and for a group of people. It would also give harmful solutions and answers for the user to try for their question they asked,misinformation,mental-harm,incorrect-ai-output,bias,
5016b067c4ed4b5fb06d464726420292,impoverising the poor more.,economic-disturbance,,,,
01a0e4073dac4963ada149d17b8945bc,It would cause people to looses money,financial-disturbance,,,,
6a6c9271a5ab78b1b613ff8ee38f7635,Unemployment increases. Then crime increases as a result. ,economic-disturbance,human-labor-replacement,aid-criminal,,
7125390f48fc38d228e6ad642bd87a1e,I would be locked out of my accounts or the computer would cease to function.,general-harm,data-security-privacy-risk,,,
27ad98eaae88201d61c8c286ddfd725d,lost of money,financial-disturbance,,,,
b71cd0421551664a42a80a5356202ddb,Anyone who chose to allow the AI to perform medical procedures/surgeries.,physical-harm,incorrect-ai-output,hinder-medical-care,distrust-institution,
407bcbd9bd05e6d015032a835c040ffa," Exposure of security, personal details, bypassing of firewall software or information to get classified information or personal datas. ",data-security-privacy-risk,hacking-risk,,,
33456d2a9205b6dfc3fe724b9a7d306c,The people in those areas would not receive the benefits needed in regard to hunger relief.,economic-disturbance,social-division,minority,,
900abd7e39b2c8074200a115feee2c6d,The training would be considered inadequate,impede-learning,hinder-career,,,
0fb7330bff3b1ac250258fee41d509b2,YES,na,,,,
a6cf5894b9be0560ac2034be738d6b41,"Embarrassment, ruin of the item, lost of money, lost of time",financial-disturbance,waste-resources-or-time,mental-harm,,
ae7ed37619ea165e965af00092eecd0e,very minimal,no-harm,,,,
83fbbf07b684690de7c8ffb052fc00b5,Lack of trust and patronage,distrust-ai,distrust-institution,,,
f69241295af2781a908ddf65314c8595,Disappointment from anxiously wanting and building up hope to actually talk with someone.,mental-harm,social-isolation,,,
0c483d36388a4d439288093086a4ad2b,Poverty and homeless will not get the help they needed,economic-disturbance,social-isolation,minority,,
5fb5a851b864edcb49609c559aebb9ba,"I would have to devote time to making the corrections, and also face complaints from my supervisor and coworkers about inaccurate reports and presentations. ",miscommunication,waste-resources-or-time,incorrect-ai-output,hinder-career,
81c3d7d48c65f49f3aae73635699b162,length of time for healing could be much more extended.,negative-health-wellbeing,,,,
2263934e8b1f4de1536e799f5048df8a,the negative impact would be just less convenience ...,no-harm,,,,
f3ae9e3adb2fcbb94a7a36aeb108c4b3,"It could lead to inconsistences and at the extreme, even loss of life ",physical-harm,incorrect-ai-output,,,
0ec32f1c0fdf6a48f22b37519393d06c,It could be used to extend the lives of dictators.,distrust-institution,social-division,aid-criminal,,
6c3859497408f69338c4bf67bf36186d,"If tech x created a website that was glitchy, prone to crashes or other serious issues, it could have a negative impact on business.  A poor website causes a bad experience for customers and this could lead them to seek out other options.",financial-disturbance,waste-resources-or-time,distrust-institution,business-use,
5416f5a3d7082b96f7a45731948533c7,"Negative impact could be dangerous mistakes in the research, etc if the Tech X10 failed to do its job properly.",hinder-science,incorrect-ai-output,,,
c7dfa1be579739405574dd6b8add72e1,the target population would not receive the recommended assistance,general-harm,social-isolation,hinder-medical-care,,
7a8c6bfa133a5a484bc1b1126476eada,not test enough before going on market,general-harm,incorrect-ai-output,,,
02d7ea41cb0686b59dfd0f0086953c0f,"worsening individual or public health, potential mortality increase in some conditions.",physical-harm,negative-health-wellbeing,,,
3b07b153bd77735e9660df550a4e3536,"Inaccurate technologies resulting from failures in Tech-X 10 could lead to adverse effects on patient safety, including unexpected side effects, increased risks, or ineffective treatments, potentially causing harm to individuals participating in clinical trials or receiving the treatments.",physical-harm,negative-health-wellbeing,incorrect-ai-output,hinder-medical-care,
b71ae93d27511d8a973d6703a4047da3,someone may be seriously harms and may even cause death,physical-harm,,,,
f7e6fff0e588ea3ccf52708e26c2e761,again the suffering of any survivors ,mental-harm,,,,
eebddd1037812efb5339581aabdf5446,Impact parents ability to earn a living.,financial-disturbance,economic-disturbance,human-labor-replacement,,
166f542a9b71fb9b076bd36309607beb,more people dying and less being helped in proportion to current numbers.,physical-harm,negative-health-wellbeing,,,
69583295322542a47ef057731748be67,Destruction of the environment and habitats including populated areas ,physical-harm,environmental-harm,,,
fac37c4217f4f4b503d9aa9642ccff23,"Negative effects of failure Patients' safety may be jeopardized and the efficiency of healthcare delivery may be reduced in situations where Tech-X/Tech-X 10 performs jobs in customized healthcare improperly, such as misdiagnoses, delayed interventions, and missed vital health indicators.",physical-harm,negative-health-wellbeing,incorrect-ai-output,hinder-medical-care,
0e5e232bdc2bd0f9675ce47de777cd04,"It can cause death , lost of resources , imprisonment ",physical-harm,legal-issues,waste-resources-or-time,,
fe233e2441a6759f22243210fcf7a49e,More people would get sick or die.,physical-harm,negative-health-wellbeing,,,
8fe5fdc5266fa67d445c0a3279c5087a,it could lead to mass death or incarceration.,physical-harm,war,,,
ead77c31f4416eff0ec73cc08ef81174,Illness or death?,physical-harm,,,,
4747f9cebc660a102f1a3dc6b440990f,I see no failure cases,no-harm,,,,
bdf64e748de69e98ddadf4b6c4e81e6b,It would be a risk to the firm as a whole ,financial-disturbance,distrust-institution,,,
406eb3f0b9284ea66e4c4592abc9a42b,They would waste money or get sicker,financial-disturbance,negative-health-wellbeing,,,
7d5d5622459a7eb36a13cd0f170b50c5,It would cost people more time and money,financial-disturbance,waste-resources-or-time,,,
0b50b885d43e1fe54a3be3c5c3858481,"Misunderstandings and misinterpretations, even from a robotic device can give a person mental stress and confusion.",miscommunication,mental-harm,,,
87b666f0d46fac7dba96d8f3afb2e320,lawsuits ,legal-issues,,,,
637afe5f72698b3d974c67d2a4491bb7,A mental breakdown.,mental-harm,,,,
a3d4ba394e62883ccb20397ade3a8ccb,"Would cause alot of distress, panic, overwhelment and so on.",mental-harm,,,,
c31337f17a3a6080918135cbf7444054,"Inaccurately in income, or product availability for corporations or businesses",financial-disturbance,incorrect-ai-output,business-use,,
50510a2e37fcb1e917b80eac7078be55,It may cost a life or money to repair,physical-harm,financial-disturbance,,,
8f899bfaf20aa9eb784e93c1646b1b7d,The business would now be subject to bad reviews,distrust-institution,business-use,,,
c8afd56386b0f06ac3d2650749e3e80c,It would waste time and resources.,waste-resources-or-time,,,,
7e478da78dc172b96acbb916ab4d7407,Repeated trips to the store; wasted money and food,financial-disturbance,waste-resources-or-time,,,
1112b3671c909db2bf3a13c2f9d0d4ea,"lowered standards, could cause frustration",lower-quality,mental-harm,,,
973f53306ffb33946957ecc557ca1e7d,More un educated people that think they know how to do the task it asked,impede-learning,overreliance,unqualified-accessibility,,
5c890ed3111aa0b62f6e6c9886ee4a5a,People would be evil all the time,new-code,,,,
8332fc1196e0fa130df57140d8945e14,misinformation,misinformation,,,,
a96868bf40fbb328c199f88102b90fe5,It would slow research.,hinder-science,,,,
da3d78bb54599a46da57b93d42eea012,Problems such as climate change getting worse.,environmental-harm,,,,
3214488d946459ec435b6d24f791647f,"The person's condition could worsen, or they could die",physical-harm,negative-health-wellbeing,,,
42254b30a082cd372051e7ead6598bac,Civilization would be thrown back thousands of years in terms of progress.,hinder-science,economic-disturbance,extinction,social-division,
eebffb6f55c3edec57bf08740f002d9d,Ineffective or potentially harmful systems being put into place,physical-harm,general-harm,incorrect-ai-output,,
8f2ff716bc9469b537a985047f22a5a4,It could impact society and real human lives by creating different thought and laws ,legal-issues,bias,social-division,range,
ab0deb4cac674c320ea222c56ee76a31,"It could hurt others, themselves, the environment, the economy, etc.",physical-harm,general-harm,economic-disturbance,environmental-harm,
9d3eee819752592b3c522e2006560879,"Loss of mobility, mental and/or physical capacity, or life. ",physical-harm,mental-harm,,,
947685b3e2baa963b643a10235078a60,People would bet confidently when they should not,overreliance,manipulate-people,,,
a9aeb50b73aa95082fe1bde33c6c765c,"If Tech-X 10 failed to perform its intended task properly, the potential negative impacts could include: - Mistreatment of patients, leading to poor health outcomes or even death. - Lawsuits and financial liability for healthcare providers. - Increased distrust in the healthcare system and technology. - Loss of time and resources spent on implementing and using the technology. - Impact on the mental health of patients and healthcare professionals. All of these potential consequences highlight the importance of making sure that Tech-X 10 is able to perform its tasks correctly and accurately.",physical-harm,legal-issues,waste-resources-or-time,mental-harm,distrust-institution
233ce5568aaf2762b8538659eb60a300,Potentially fatal consequences such as death.,physical-harm,,,,
e4dd7b055afabc79a41cd66017859bde,Many would think they could access the changes faster.,miscommunication,overreliance,,,
b9f8bd55cefcd56c366a1ae177bd6875,"People would be experiencing low quality consulting services, which include things like outdated information or misinformation ",misinformation,lower-quality,,,
375414e96d6516b84488e32cbe997891,Not giving the person an accurate depiction of what their idea would look like in the real world. ,misinformation,incorrect-ai-output,,,
a6ff26e7202cf1827cd5171b42d9d2da,Someone would be misinformed/ill-taught and they might perpetuate that to others ,misinformation,mental-harm,,,
6be3a88c2edcbbdd99f432e15ccd3124,then people could be not saying the proper sentences they were trying to,miscommunication,,,,
0b87da620e35d054fd39c8a7fad732d1,"It could leave the user feeling disappointed, and unmotivated, and unproductive.",mental-harm,overreliance,,,
b902cbdee70eec027d40423fa0dcb788,Tech X could severely harm people.,general-harm,,,,
4a0157be005bcb31b0fc8cedc24a16f4,The reputation of the developers would be ruined,hinder-career,,,,
8fb20e00caf057115dd35b9934edf69e,"A loss in reputation, unintended social consequences, and a loss of motivation from inaccurately reading mistranslated books or notes by the AI",mental-harm,incorrect-ai-output,distrust-institution,social-division,
ff45b3f92e2029ca771377f77d592cb4,"Loss of money for the corporation, loss of trust in employee, loss of time due to having to go back and fix the errors ",financial-disturbance,waste-resources-or-time,distrust-institution,,
e78cf8dd2d08f515d5590895836897cf,Everything that I have laid out before in previous questions,na,,,,
582a2f35eb7a15fb6791b698f9e56b6f,Worse health outcomes.,negative-health-wellbeing,,,,
1145f907257825861d2df56393d9c198,Bad investment decisions ,financial-disturbance,,,,
9702c0ce856eb00452675e66e02b14ea,No sales and lack of even more money ,financial-disturbance,economic-disturbance,,,
68ae9acdd93d6b3d1ee0a758cdde777b,the same as negativity not using the tech any longer ,distrust-ai,no-harm,,,
16ffaf4d08583a8f721354053829be3b,People would have to take more time to look at what food to make.,waste-resources-or-time,,,,
4030f029688b03887fbd861f987e20fe,Hate crimes,social-division,aid-criminal,terrorism,,
a9877a54ee851ddad002fb8ffa4b8720,none,no-harm,,,,
d7876299450b29861270955dd39dfad1,wasted food,waste-resources-or-time,,,,
27a2f65411018851eee51a9fa4f830ce,An argument in person,na,,,,
99effb05434204779a0a08a36774ef27,"whoever is given the ""cure"" could face fatal consequences",physical-harm,incorrect-ai-output,,,
39d4042f86a82d1c25d97af923aa3a75,They could range from a minor inconvenience to death depending on how sensitive or urgent the situation was. ,range,,,,
dedfa49491164e0ec00c39d5a3a3dbb1,People would lose faith in the technology.,distrust-ai,,,,
d0a8a464d8fcff21525c004c901aea01,less time for people,overreliance,,,,
07d5f4e4c67d4196b9b70a48756e4a44,The failures in these cases could all result in death. ,physical-harm,,,,
274ccf2d376e944c272e6b6ee493c63d,It would be a waste of time and potentially tarnish the reputation of the platform,waste-resources-or-time,distrust-institution,,,
20e70671b62d6df142adc795592b0514,it could lead to missed diagnoses and/or delayed treatment. ,negative-health-wellbeing,incorrect-ai-output,hinder-medical-care,,
b434b39bc72cf71dc413405f111fefc9,false information promoted on the AI platforms.,misinformation,,,,
fc0058c0a20ef161a56ae92727889f57,It would make the stories bad,lower-quality,,,,
9b6efb4f21fbc248423d5a272150b7d9,The negative impact would be that people continue being single.,social-isolation,,,,
12ae19854da7ef4137be69d5f60aefa9,A greeat consequence on the valuation of the company ,financial-disturbance,,,,
71ba12f93cba89fe69a6543e0531aa58,There could be catastrophic consequences if it were to fail and cause a massive grid failure,physical-harm,general-harm,economic-disturbance,,
61fafcd3905a2e12e50519ed7785b7fe,if you ask about a certain med and gives you wrong information. ,misinformation,incorrect-ai-output,,,
c52feb7e99f977833be9e4d01eb0a05d,Property damage and injuries sustained in the accidents,physical-harm,financial-disturbance,,,
5d89281741d8f47df529309ef2c2b7b1,"It could continue to be misleading, unacceptable ",misinformation,general-harm,,,
7e9e81588a805b5050061fa782421c86,losing clients,financial-disturbance,,,,
6eece659c409b7201c57dfc4f48b0f82,it will delay the work you are working on.,waste-resources-or-time,,,,
e48ceccd549b9ead028d1c63fb803199,I could have more or less money to pay bills than I knew. ,financial-disturbance,,,,
dcdccfbdd109d08a6ef6cfd5bfabf80d,People would be led down the wrong path in whatever information-based task they are pursuing due to being mislead by the AI and not having any thought of verifying the information (or being led into a false sense of reliability),misinformation,distrust-ai,overreliance,,
00184a91a3df3c0a876619b9c6b3cb62,Potential harm or death to a patient.,physical-harm,,,,
7c04925ea26cee23c8b9f324fb63a306,People would be misinformed ,misinformation,,,,
da0d3d9dba07a9e2210b239222d01a16,"If it's not caught, it can lead to bad data being published, which could result in actual injury or death depending on the research being covered. ",physical-harm,misinformation,incorrect-ai-output,,
f9df7953ba3b6e10ff51f6f7c50aab94,In my cases minimal other than having to do more work that I was already having to do before anyways. It is possible however that some mistakes slip through the cracks and someone's grade is negatively impacted. ,waste-resources-or-time,incorrect-ai-output,hinder-career,,
fe6afd166efc31adb84800071e7b93d6,"Increased violence, increased bullying, greater polarizations, dismantling of democracies",extinction,distrust-institution,social-division,war,
ca9d24745a6bca091ac9ef2b14e0375e,Work could be late.,waste-resources-or-time,,,,
619fe9160723aa29c0967cff62e96c51,It could literally cause someone to lose their case by relying on incorrect cases or briefs,legal-issues,incorrect-ai-output,hinder-career,,
57cebc93967710e9bbf5a6cd90668037,I don't think there would be that great of a negative impact. I just think things will stay the same.,no-harm,,,,
1ae1a3fcbb398c41ed1bb34ae8d14c7c,investors would lose a lot of money,financial-disturbance,,,,
8dfa5ce2ebca1f5d287311dde04dce1b,I think providing incorrect information could generally just make people's lives harder. ,general-harm,incorrect-ai-output,,,
c3aa3e6ebc61bd40fe96742c3d763966,None,no-harm,,,,
3123a940c679b87f473c6a5b3aa5ea48,Death,physical-harm,,,,
9e93816ec47d887b11ea9e90e2761754,Less confidence in Ai,distrust-ai,,,,
a0d012d92d88248367f0834e1ee2b099,"Miscommunication, which could have a small impact (saying something embarrassing in a restaurant) or a large impact (saying something incorrect to a political leader)",miscommunication,range,,,
919e5b2ceb92f3fbfac725def37db6cc,the health of the patient would be compromised,negative-health-wellbeing,,,,
d20153b789ae8541bd419e2e17f98838,That it's not being properly done.,general-harm,incorrect-ai-output,,,
ae14a65adf2bfb2916c3cda887c2b496,"It could at best not solve the illness, and at worst, kill the patient. ",physical-harm,negative-health-wellbeing,incorrect-ai-output,hinder-medical-care,
377bbc11d455dad4f60fba5753f625fc,"Depending on what the data that was being collected for it could negatively impact multiple groups of people. If the government used it, and it leaked  classified information, if someone was using it for an essay and. had the wrong information.",misinformation,legal-issues,data-security-privacy-risk,minority,
62ef04859199dac911ec883dfc15eca9,people would starve,physical-harm,economic-disturbance,,,
8e04378591141b2e35ef032cd314657f,Important details could not be communicated or translation issues can cause altercations or other negative circumstances,miscommunication,general-harm,,,
7abebab1ea76aa1d7464ae24ecbe929b,People wouldn't properly improve and might even learn bad habits.,impede-learning,overreliance,,,
469b021d198c1a1caf576e8dd3c2df03,The businesses would lose profit.,financial-disturbance,business-use,,,
9920822ded0ac95fa508433e03625974,Whatever you asked Tech-X 10 to invest would be gone and depending on how much the user decided to give it access to it could be bad. There would obviously need to be safeguards,financial-disturbance,overreliance,data-security-privacy-risk,,
79a88e82e6bf1eb61ba3d09eca191b22,It would cause a loss of profits and shipments would be stuck in the wrong place.,financial-disturbance,economic-disturbance,,,
f62be99d5a8b0876be3e80daecef1330,I would fail to meet my obligations and be penalized for it. ,financial-disturbance,hinder-career,,,
4e80f7e563d7d561b403e5269da8ec30,The negative impact could be injury or death.,physical-harm,,,,
ffbbe620d41d45714f171a4a2b5041d5,The AI will decide for people and make wrong decisions,incorrect-ai-output,manipulate-people,,,
5a5deb9f2fab81389f3faae056645106,Car accidents in vehicles. Fires or explosions in buildings and houses. ,physical-harm,,,,
d840f7993dc6f0bcf50a7b30d3c5a326,Identity theft and delayed or ineffective care which could then lead to worsening or new medical issues. ,negative-health-wellbeing,data-security-privacy-risk,hinder-medical-care,,
3c2c201f2cad0fa1620e19df49b2203b,Other services might suffer financially and hurt anyone who benefitted from them.,financial-disturbance,general-harm,,,
f4f302f038adb45b396c64d8ec7f84ad,death,physical-harm,,,,
1a65ef57ad154cfc8e4cc097f6520ec5,people who depend on the business will lose a job and be inconvenience,economic-disturbance,human-labor-replacement,,,
9d9f0489173d8bf58d7776781064d88b,disabled people would have even less freedom,overreliance,social-isolation,minority,,
75f8041d206d78ab3b6da747278ffd04,People would not be able to receive aid from charity and people will not be able to correctly translate things.,miscommunication,economic-disturbance,incorrect-ai-output,,
389f14d0ca641b86225e1919e8b23be1,See the many examples AI researchers have given (e.g. turning us into paperclips).,general-harm,extinction,new-code,,
78f006ad883153c135d0966d04314501,"The belief, use and propagation of wrong information.",misinformation,,,,
464a0aa35c830ab5c60da6074a029128,People would believe things that never actually happened in the novels. ,misinformation,,,,
b140bdc00402ba4c14545293dff77522,"Fraud, identity theft (stolen debit/credit card, ID, social security number), broken or unusable PC, money loss",financial-disturbance,data-security-privacy-risk,aid-criminal,hacking-risk,
2c116a69bfaf479b89aff49080b27637,There would not be a negative impact,no-harm,,,,
14da429eb6ae6f245b7e8f1af33de032,A dangerous society who cannot help themselves or the others e.g in the medical world,mental-harm,overreliance,social-isolation,hinder-medical-care,
bdd4e8e83678df11b2e01203ff4683d0,"People who use apps would be inconvienced or essential systems will fail, risking lives.",physical-harm,general-harm,overreliance,,
a6ba7c0990d982ef0c717583f38aa0af,wasted time and money ,financial-disturbance,waste-resources-or-time,,,
e4ccf943d031e3cfecf9c0be1663b4ad,many people would lose their money and risk the country's economic stability,financial-disturbance,economic-disturbance,,,
c08681761f152d680e9a7925654f6525,"It would harm social relationships. Not necessarily ending them, but maybe lead to ostracism or loss of trust.",distrust-ai,mental-harm,social-isolation,,
0373514cda90fd43543ee029864fb27e,No one to talk to,social-isolation,,,,
f685d70741b327e979e91b9f305cd70e,people would feel less encourged to attempt this activity again,distrust-ai,mental-harm,,,
e49847926cce2fe7467e00977898d0ef,The negative impact would be loss of business and decreased trust in the medical professionals. It can also ruin reputations and there could possibly be legal charges.,legal-issues,economic-disturbance,hinder-career,distrust-institution,
57ebda6f8200952856860a7be93f61bb,"If Tech-X 10 fails to perform its task accurately, it could lead to misinformation, erode trust, cause harm to individuals, waste resources, result in unintended consequences, and pose legal challenges. To prevent these negative impacts, rigorous testing, transparency, and accountability in development are crucial.",misinformation,distrust-ai,legal-issues,general-harm,
2d55c8ed04bae785af26592783c04b36,"False imprisonment, missing people dying in the process of waiting, wasting police time",physical-harm,legal-issues,waste-resources-or-time,incorrect-ai-output,
cd5b193e2b9f1b5310af11276bf1fa80,I have a rare incurable heart / lung dise and the medications I take are intended to prolong my life and the quality of it some.  ,na,,,,
fd7d63a93504c572aa29e08a0e5a6d73,"Pain, suffering, loss of a comfortable life and death.",physical-harm,mental-harm,economic-disturbance,,
287903b59f693633f1d9bf4f90277698,I will have to come up with my own list.,na,,,,
6428ac4ecc1c6c05139873314a4c8b52,technological progress is stilted ,hinder-science,,,,
002f0141fe01f54325883072545d4ebb,Undeserved and/or unjust punishment by law,legal-issues,bias,,,
6fd39d5fe61005e7b92139d80768c5ec,"It depends on what people would use it for - I can see how it could potentially cause a lot of harm. Someone might lose their savings, stocks, or retirement money. Someone could be given the wrong medical advice if they used it for that, and the consequences could be deadly.",physical-harm,financial-disturbance,negative-health-wellbeing,incorrect-ai-output,
7f57dd83e72171be7e72a03395a08b18,Death or even complicate the case,physical-harm,hinder-medical-care,,,
782c7fa6bb672e71054c1913b185221a,"The negative impact would be a waste of time, money and effort and the user would have to find another option for a meal. ",financial-disturbance,waste-resources-or-time,,,
5f9fbcb4590624fac976e7e5fb64dfcb,who heavily depend on Tech-X or Tech-X 10 for financial management may experience increased stress and anxiety if the technology consistently fails to deliver accurate and reliable results.,financial-disturbance,mental-harm,overreliance,,
7bf1fb876af777da55153e0d417e189b,It could lead to serious injury  or death.,physical-harm,,,,
408aec8cd9123c0f4e3fa16fbda8f859,an inconvience,general-harm,,,,
97e1c674d2c575a4a4e590923465dd0d,so they end up getting bad homework grades.,impede-learning,incorrect-ai-output,hinder-career,,
12965e1d523b693632399e895474a72c,"people could no longer live on Earth, or most parts of it.",environmental-harm,extinction,,,
3e3e3e9cbb08a8bdf238bd36cec8a0b9,publishing bad or fake info,misinformation,,,,
338ec7076cc4f26e4acd5522a9161132,"wars, crime  more death",physical-harm,aid-criminal,war,,
ff10af1356428ae0930b16bd69eacc77,"It depends on the situation, but for example, providing incorrect or incomplete medical diagnostics",negative-health-wellbeing,incorrect-ai-output,hinder-medical-care,,
74a7722ebdd4619831af151dc858f1f4,"The negative impact would be making it harder for affected students to properly learn math, as well as software engineers having their work messed up.",impede-learning,incorrect-ai-output,hinder-career,,
e62e86fb2c66f2b3dfbca71c5ac1d8dd,"Financial ruin, relationship failures, medical failures, self-harm.",financial-disturbance,mental-harm,social-isolation,hinder-medical-care,
8a5d2d1f40d2de1f14044c7b38f61bf1,lost time and money,financial-disturbance,waste-resources-or-time,,,
3c943b599ad77088ac850dbc06e8803d,Bad business outcomes.  Wrong decisions based on bad results or data.  Time wasted on double checking results.,financial-disturbance,waste-resources-or-time,incorrect-ai-output,business-use,
fb232fe05988561afe58279f6bbb1e7b,It would prevent accurate data publications and also could prevent the proper cures from being developed ,hinder-science,incorrect-ai-output,hinder-medical-care,,
8dfb97926b6b7f01d195d78d9d57d715,Decrease engagement - loss of profits,economic-disturbance,business-use,,,
912469ebd49b69578329dd904454aeb4,Not become productive members of society,overreliance,social-isolation,hinder-career,,
4d1bc0230a89034c3956db71249c07c0,It could make people not vote for someone under false pretenses.,misinformation,manipulate-people,,,
4c07febef04fd5d0c4cf9c3f4f83e177,"More expensive house, time lost",financial-disturbance,waste-resources-or-time,,,
